player_level,position,pos_sorted,player_name,client_platform,player_level_display,is_guest,player_dnf,pnhl_online_game_type,team_id,team_side,opponent_club_id,opponent_team_id,opponent_score,score,rating_defense,rating_offense,rating_teamplay,toi,toi_seconds,skassists,skbs,skdeflections,skfol,skfopct,skfow,skgiveaways,skgoals,skgwg,skhits,skinterceptions,skpassattempts,skpasses,skpasspct,skpenaltiesdrawn,skpim,skpkclearzone,skplusmin,skpossession,skppg,sksaucerpasses,skshg,skshotattempts,skshotonnetpct,skshotpct,skshots,sktakeaways,glbrksavepct,glbrksaves,glbrkshots,gldsaves,glga,glgaa,glpensavepct,glpensaves,glpenshots,glpkclearzone,glpokechecks,glsavepct,glsaves,glshots,glsoperiods,points,faceoffs_total,faceoff_percentage,shots_missed,shooting_percentage,passes_missed,passing_percentage,goals_saved,save_percentage,major_penalties,minor_penalties,total_penalties,points_per_60,possession_per_minute,shot_efficiency,takeaway_giveaway_ratio,penalty_differential,defensive_actions_per_minute,offensive_impact,defensive_impact,detailed_position,position_abbreviation,game_impact_score,puck_management_rating,possession_efficiency,net_defensive_contribution,time_adjusted_rating,shot_generation_rate,offensive_zone_presence,two_way_rating,match_id,club_id,player_id,game_result,home_away
1,rightWing,3,PureRippin,xbsx,154,0,0,5,500,0,1246,501,3,4,50.0,60.0,65.0,60,3600,0,0,0,0,0.0,0,15,0,0,4,1,15,7,46.67,1,0,0,0,203,0,1,0,4,75.0,0.0,3,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,,1,0.0,8,46.67,,,0,0,0,0.0,3.38,0.0,0.07,1,0.08,0.03,-0.17,rightWing,RW,2.2,1.8,0.0,-13,87.5,0.07,4.9,0.1,24298898450478,20042,171449606,win,home
15,defenseMen,1,elsileD,xbsx,8,0,0,5,500,0,1246,501,3,4,55.0,100.0,70.0,60,3600,2,0,0,0,0.0,0,5,1,0,2,4,26,22,84.62,1,0,0,0,204,0,0,0,6,50.0,33.33,3,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,3,0,,3,33.33,4,84.62,,,0,0,0,3.0,3.4,16.67,0.2,1,0.05,0.09,-0.03,rightDefense,RD,7.5,3.8,0.88,0,112.5,0.1,5.9,3.3,24298898450478,20042,257817071,win,home
1,center,5,Dangs92,xbsx,42,1,0,5,500,0,1246,501,3,4,85.0,100.0,90.0,60,3600,3,0,0,10,60.0,15,7,1,0,3,4,18,16,88.89,0,0,0,0,255,0,0,0,2,50.0,100.0,1,3,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,4,25,60.0,1,100.0,2,88.89,,,0,0,0,4.0,4.25,50.0,0.43,0,0.1,0.09,-0.02,center,C,7.1,4.3,0.94,0,137.5,0.03,5.5,3.7,24298898450478,20042,320835709,win,home
6,leftWing,4,Styx1x1787,xbsx,33,1,0,5,500,0,1246,501,3,4,65.0,100.0,65.0,60,3600,2,0,0,0,0.0,0,10,1,0,3,4,20,18,90.0,0,0,0,0,247,1,0,0,11,90.91,10.0,10,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,3,0,,1,10.0,2,90.0,,,0,0,0,3.0,4.12,9.09,0.2,0,0.08,0.15,-0.08,leftWing,LW,8.5,4.0,0.73,-4,115.0,0.18,7.3,3.5,24298898450478,20042,982111268,win,home
15,defenseMen,2,Cavy l53l,xbsx,81,1,0,5,500,0,1246,501,3,4,85.0,95.0,65.0,60,3600,1,2,0,0,0.0,0,0,1,1,1,5,23,19,82.61,0,0,0,0,159,0,1,0,4,75.0,33.33,3,3,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,2,0,,1,33.33,4,82.61,,,0,0,0,2.0,2.65,25.0,,0,0.1,0.07,0.1,leftDefense,LD,8.5,5.3,0.75,10,122.5,0.07,4.6,4.3,24298898450478,20042,1006227348646,win,home
21,goalie,0,Herringthefish,xbsx,110,1,0,5,500,0,1246,501,3,4,80.0,55.0,60.0,60,3600,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,3,3.0,0.0,0,0,0,0,0.7,7,10,0,0,0,,0,,0,,7.0,70.0,0,0,0,0.0,0.0,,,0,0.0,0.0,0.0,goalie,G,5.0,1.7,,0,97.5,0.0,0.0,1.2,24298898450478,20042,1007391538882,win,home
6,rightWing,3,AyeKeeks,ps5,3,1,0,5,501,1,20042,500,4,3,55.0,75.0,45.0,60,3585,2,0,0,0,0.0,0,14,0,0,6,3,24,15,62.5,0,2,0,0,408,0,0,0,1,0.0,0.0,0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,2,0,,1,,9,62.5,,,0,1,1,2.0,6.8,0.0,0.14,-1,0.13,0.03,-0.1,rightWing,RW,4.7,2.8,0.29,-9,87.5,0.02,6.4,1.4,24298898450478,1246,219333731,loss,away
15,defenseMen,1,xMIMICm,xbsx,259,0,0,5,501,1,20042,500,4,3,70.0,70.0,65.0,60,3600,1,2,0,0,0.0,0,4,0,0,1,8,20,18,90.0,0,0,0,0,217,0,2,0,1,0.0,0.0,0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,1,0,,1,,2,90.0,,,0,0,0,1.0,3.62,0.0,0.5,0,0.08,0.02,0.02,rightDefense,RD,7.9,5.2,0.28,8,102.5,0.02,4.8,3.2,24298898450478,1246,288572961,loss,away
6,leftWing,4,John Bri I 7 I,xbsx,112,1,0,5,501,1,20042,500,4,3,55.0,85.0,45.0,58,3480,0,0,0,0,0.0,0,2,2,0,3,2,14,11,78.57,0,2,0,0,187,0,0,0,3,100.0,66.67,3,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,2,0,,0,66.67,3,78.57,,,0,1,1,2.07,3.22,66.67,1.0,-1,0.09,0.09,0.05,leftWing,LW,7.8,4.6,0.64,2,92.5,0.05,4.4,3.0,24298898450478,1246,348805280,loss,away
1,center,5,justlax10,xbsx,137,1,0,5,501,1,20042,500,4,3,75.0,100.0,45.0,60,3600,2,2,2,15,40.0,10,5,1,0,1,2,17,15,88.24,0,0,0,0,222,0,0,0,1,300.0,33.33,3,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,3,25,40.0,0,33.33,2,88.24,,,0,0,0,3.0,3.7,100.0,0.2,0,0.07,0.09,-0.02,center,C,6.6,3.6,0.81,0,110.0,0.02,4.8,3.2,24298898450478,1246,1696789810,loss,away
